,标题,热度
0,致敬擦亮山城的人,0
1,以家人之名评分跌了,3841966
2,央视再批畸形吃播,1976112
3,易烊千玺单手脱戒指,1539434
4,Lady Gaga的签名,1402781
5,13所军校录取通知书,1277848
6,这档节目我要转到家族群,1160582
7,高圆圆送李佳琦唢呐曲谱,1047914
8,疫情或令1亿人重返极端贫困,671701
9,拜登称愿为阻止新冠关停美国经济,664626
10,日媒要求公开新冠对策专家会议实录,664033
11,坠楼女生母亲称其患有抑郁症,663076
12,结婚前发现未婚夫是亿万富翁,640569
13,范丞丞杨迪发长文告别青春环游记,564381
14,韩国首次全境实行防疫二级响应,562604
15,萍乡贫困户住宅现豪华家装,555944
16,我国已启动新冠疫苗紧急使用,545128
17,两名医学生跪地救人无效却遭恶评,540203
18,CUBA,535247
19,湖人罚球命中率,529828
20,水阡墨,523219
21,黄子韬晒和Ty合影,518279
22,科比生日,478313
23,一船人就要整整齐齐,448071
24,余杭回应招清北毕业生去街道工作,424810
25,TFBOYS演唱会单人机位,348638
26,用Siri给猫起名字,333232
27,字节跳动宣布正式起诉特朗普政府,332786
28,湖人战胜开拓者,332548
29,广州市原常务副市长苏泽群被查,332506
30,澳大利亚淘金客挖出两块黄金,332499
31,萍乡副市长回应贫困户豪华家装,297293
32,以家人之名,296657
33,南航300架无人机表演迎学生返校,249250
34,加州州长向澳加两国发起灭火求助,201799
35,郑爽回应直播争议,200531
36,军队文职考试,194274
37,漂流的熊本熊还有一只没回家,182977
38,双胞胎学霸同分考上清华,177386
39,新蝙蝠侠预告,173748
40,周深长音可以唱67秒,171203
41,腾讯笔试,163318
42,7省市将有大到暴雨,160265
43,美军胡德堡基地一名核生化专家失踪,156920
44,耶鲁大学教授警告返校学生,152682
45,全国各地点亮地标为科比庆生,142134
46,桂林阳朔之巅云海翻腾,137626
47,广州首个非遗街区开市,136690
48,白岩松谈带货主播快递员成青联委员,136017
49,全国首个聋哑人快递团队,129752
50,明日之子抓马季,129206
