,标题,热度
0,深圳特区40年,0
1,易烊千玺单手脱戒指,4024658
2,央视再批畸形吃播,2150132
3,高圆圆送李佳琦唢呐曲谱,1853898
4,坠楼女生母亲称其患有抑郁症,1587960
5,TikTok计划最早下周起诉特朗普政府,1171866
6,疫情或令1亿人重返极端贫困,1049013
7,范丞丞杨迪发长文告别青春环游记,1003364
8,我国已启动新冠疫苗紧急使用,883041
9,首位黑人女性加入亚马逊最高领导团队,768784
10,萍乡贫困户住宅现豪华家装,713811
11,郑爽回应直播争议,695606
12,7省市将有大到暴雨,549458
13,白岩松谈带货主播快递员成青联委员,494700
14,双胞胎学霸同分考上清华,483740
15,漂流的熊本熊还有一只没回家,428078
16,TFBOYS演唱会单人机位,426175
17,用Siri给猫起名字,423537
18,腾讯笔试,418909
19,福州大学,415268
20,全国首个聋哑人快递团队,415229
21,景区已介入调查丹霞地貌被刻字,409582
22,军队文职考试,368745
23,以家人之名,349483
24,雷雨心,337403
25,明日之子抓马季,230535
26,周深长音可以唱67秒,229024
27,胡宇桐田鸿杰沟通方式,227233
28,湖人 开拓者,188688
29,拜登称愿为阻止新冠关停美国经济,183451
30,如何假装自己有很多朋友,181958
31,TF三代,178264
32,桂林阳朔之巅云海翻腾,173540
33,快乐大本营,162585
34,广州市原常务副市长苏泽群被查,160465
35,世界上最小的大象重现非洲,159002
36,李尖尖是凌霄的心药,158390
37,大饼淘汰,150238
38,纽约周末发生多起枪击案,143895
39,准研究生借宿朋友家虐狗致重伤,136660
40,宁静 滞销口红拯救者,134257
41,青春环游记,131113
42,长江口碰撞事故仍有6人失踪,126888
43,雷霆战胜火箭,126369
44,科比生日,123399
45,南航300架无人机表演迎学生返校,122866
46,郑爽直播坑位费,119390
47,美国新冠肺炎超566万例,118844
48,TFBOYS演唱会,115095
49,王者荣耀新英雄夏洛特,114109
50,比一胎十宝更可怕的文,113751
