,标题,热度
0,致敬擦亮山城的人,0
1,以家人之名评分跌了,3495163
2,央视再批畸形吃播,2118590
3,MambaForever,1906391
4,字节跳动宣布正式起诉特朗普政府,1694191
5,结婚前发现未婚夫是亿万富翁,1520649
6,七夕真香定律,1498201
7,两名医学生跪地救人无效却遭恶评,1316571
8,易烊千玺单手脱戒指,1106820
9,耶鲁大学教授警告返校学生,966167
10,五眼联盟欲变六眼,877780
11,13所军校录取通知书,839796
12,水阡墨,830568
13,Lady Gaga的签名,762494
14,高圆圆送李佳琦唢呐曲谱,687583
15,疫情或令1亿人重返极端贫困,390319
16,教师回应提离职被学校索赔42万,389696
17,坠楼女生母亲称其患有抑郁症,388542
18,吴昕 乘风破浪的碎碎念,385928
19,男子称身份被冒用背上490万贷款,382673
20,美军胡德堡基地一名核生化专家失踪,371165
21,原来长颈鹿是这样喝水的,371085
22,黄子韬晒和Ty合影,371024
23,韩国首次全境实行防疫二级响应,370618
24,詹姆斯季后赛胜场数超邓肯,367767
25,CUBA,363164
26,科比生日,361096
27,仓鼠大逃亡,353690
28,吴彤回复范丞丞高仿号,353649
29,湖人罚球命中率,339473
30,拜登称愿为阻止新冠关停美国经济,333932
31,余杭回应招清北毕业生去街道工作,332673
32,TFBOYS演唱会单人机位,313628
33,用Siri给猫起名字,282861
34,范丞丞杨迪发长文告别青春环游记,252855
35,广州市原常务副市长苏泽群被查,244200
36,日媒要求公开新冠对策专家会议实录,244042
37,澳大利亚淘金客挖出两块黄金,236934
38,一船人就要整整齐齐,230825
39,以家人之名,223693
40,广州首个非遗街区开市,218985
41,萍乡贫困户住宅现豪华家装,211664
42,28对金婚老人集体补办中式婚礼,202282
43,郑爽回应直播争议,172196
44,当代医学生大赏,165405
45,军队文职考试,161673
46,我国已启动新冠疫苗紧急使用,159230
47,周深长音可以唱67秒,152076
48,漂流的熊本熊还有一只没回家,148348
49,湖人战胜开拓者,106182
50,桂林阳朔之巅云海翻腾,102254
