,标题,热度
0,人民币对美元汇率升到6.5时代,0
1,沈梦辰 总是敷衍都会渐行渐远,2149390
2,医生喝葡萄糖遭质疑市民专程送水,1820338
3,赵丽颖谈网络评价,1380506
4,赵薇齐溪谈容貌焦虑,984434
5,钟南山被催睡觉和妻子讨价还价,969097
6,全班为考一百分的同学欢呼,591157
7,江西万载发生一起重大刑事案件,536362
8,Khan和GimGoon成为自由人,532376
9,四川88个贫困县全部摘帽,522279
10,听见她说,512609
11,张一山 我也有演不好的时候,507539
12,jasper对着每个镜头道歉,489056
13,刘阳,481209
14,世卫称新冠病毒在中国传播水平极低,455370
15,父亲给新兵儿子手写千字毛笔家书,454896
16,许光汉别再想见我MV,454739
17,买个面条都要出省,453874
18,王嘉尔碎发长刘海造型,453170
19,蛋壳公寓拖欠员工工资,452974
20,奔跑吧银川路透,452445
21,李宇春那女孩对我说,452017
22,陈乔恩探望安以轩女儿,450535
23,近藤真彦承认出轨,443741
24,湖南姐妹为父追凶25年案开庭,299212
25,王思聪 没瓜忘挂狗头了,298203
26,风起洛阳开机,292581
27,国际奥委会将承担疫苗费用,255987
28,基金,253297
29,世卫组织总干事谭德塞已结束隔离,253192
30,蔡志忠落发少林寺,253175
31,3个月以上租金纳入监管账户,242960
32,老WE队员成立战队,230840
33,驾校教练利用APP价格漏洞挖学员,227474
34,美国大选正式结果何时官宣,223818
35,别人学校的才艺表演,221084
36,男友制造惊喜有多努力,218068
37,林青霞回归微博,189317
38,长安大学否认马保国拳法入体育课,184071
39,中国买家花1250万买下比利时赛鸽,165413
40,Duan退役,165388
41,猫咪怼脸拍,158688
42,成毅时尚健康封面,156610
43,龙飞船成功对接国际空间站,156408
44,最新互联网公司市值排名,156360
45,边防战士煮泡面为战友庆生,156324
46,拍视频救娃者希望家属道歉,155489
47,马保国,153889
48,雷霆战将发长文回应差评,153252
49,江苏预付卡消费拟设15天冷静期,152767
50,火箭开拓者交易,144546
