,标题,热度
0,三大运营商半年报显示5G推进超预期,0
1,郑爽直播坑位费,3325523
2,国产首个宫颈癌疫苗在沪开打,2939783
3,高圆圆好美,2822775
4,许蔚车祸,2318451
5,易烊千玺立麦,2008360
6,10后硬核过生日,1884696
7,齐明月亲凌霄,1845643
8,准研究生借宿朋友家虐狗致重伤,1467892
9,拜登称愿为阻止新冠关停美国经济,1303909
10,首位黑人女性加入亚马逊最高领导团队,1250472
11,坠楼女生曾对补习钢琴产生抵触,1199544
12,黄子韬与diss他的rapper和解,1117664
13,被陈婷气死,930636
14,这期明日之子好压抑,746621
15,李尖尖是凌霄的心药,690281
16,父亲欲接坠楼女儿被砸身亡,639729
17,腾讯笔试,628103
18,TF三代,620523
19,以家人之名,611171
20,福州大学,594532
21,教师提离职被索赔42万,586750
22,TFBOYS演唱会,572396
23,快乐大本营,558507
24,世界上最小的大象重现非洲,555915
25,王者荣耀新英雄夏洛特,547777
26,这就是街舞,547423
27,郑爽回应直播争议,546559
28,极简风衬衫裙,545728
29,超五成日本公司反对2021年办奥运,544494
30,广州市原常务副市长苏泽群被查,543518
31,孙铱,542159
32,李飞没有心,541859
33,TFBOYS演唱会弹幕只能发橙色,540395
34,南京大屠杀史再添新证,540163
35,加州州长向澳加两国发起灭火求助,457439
36,青春环游记,412645
37,唐嫣 宁波,396835
38,宁静 滞销口红拯救者,391983
39,比一胎十宝更可怕的文,357339
40,武汉四胞胎小浣熊取名谐音感恩白衣,309365
41,老两口因洪水被困邻居用竹竿送饭,293905
42,吴彤大碴子味儿英文版无价之姐,264229
43,郎朗杨丽萍即兴合作,212035
44,福耀玻璃美国工厂亏损,211507
45,南苏丹一货机坠毁致17死,207738
46,广州粉色系天空,202919
47,大二男生神还原动漫名场面,198736
48,野孩子退赛,194081
49,实验对比使用公筷到底有多必要,190207
50,执医,189420
